,,,,,,,,,,,
,売上,8413917,進捗率,目標,▲支出,3341322,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
,TikTok売上,7683917,0.5286918904,14533828,▲投稿制作費（外注費、コスメ代）,1059920,,モテコスメちゃん,720000,0,720000
,モテコスメちゃん,350000,0.1362145434,2569476.0,▲販管費,2281402.0,,ビビちゃん,740000,300000,440000
,ビビちゃん,700000,0.2492808248,2808078.0,,,,美容探偵,750000,0,750000
,美容探偵,750000,0.4334027548,1730492.0,粗利,,,合計,2210000,300000,1910000
,突撃ちゃん,1025000,0.9529387702,1075620.0,7353997,,,,,,
,肌コミちゃん,1304917,1.021349519,1277640.0,営業利益,,,制作原価,1059920,3メディア分,353306.6667
,コスメ怪獣ちゃん,950000,0.8178269048,1161615.0,5072595,,,,,,
,韓国オンニ,504000,0.4878842088,1033032.0,,,,,,,
,成分オタクちゃん,850000,0.327742433,2593500.0,,,,売上報告,False,担当：吉谷,
,コスメ女子会ズ,1250000,4.395604396,284375,,,,制作原価請求,False,担当：吉谷,
,Instagram売上,550000,,,,,,,,,
,YouTube売上,180000,,,,,,,,,
,,,,,,,,,,,
Month,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2412.0,モテコスメちゃん,ルルルン,RISE,12月発生2月払い,投稿制作費,350000.0,請求書送付済,,NADESIKO,吉谷,
,モテコスメちゃん,,,,,,,,,,
,モテコスメちゃん,,,,,,,,,,
,モテコスメちゃん,,,,,,,,,,
,モテコスメちゃん,,,,,,,,,,
,モテコスメちゃん,,,,,,,,,,
2412.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2412.0,ビビちゃん,dejavu,Anyglo,12月発生1月払い,投稿制作費,300000.0,投稿完了,SAあり,ライスカレー,吉谷,
2412.0,ビビちゃん,ブースタープロミニ＋スキンケア商品,APR,12月発生1月払い,投稿制作費,400000.0,請求書送付済,,NADESIKO,吉谷,
2412.0,ビビちゃん,,,,,,,,,,
2412.0,ビビちゃん,,,,,,,,,,
2412.0,ビビちゃん,,,,,,,,,,
2412.0,ビビちゃん,,,,,,,,,,
2412.0,ビビちゃん,,,,,,,,,,
2412.0,ビビちゃん,,,,,,,,,,
2412.0,ビビちゃん,,,,,,,,,,
2412.0,ビビちゃん,,,,,,,,,,
2412.0,ビビちゃん,,,,,,,,,,
2412.0,ビビちゃん,,,,,,,,,,
2412.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2412.0,美容探偵,アゼペア,OMOT,12月発生1月払い,投稿制作費,300000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2412.0,美容探偵,Dr.twentyproject,bibin,12月発生1月払い,投稿制作費,200000.0,請求書送付済,,NADESIKO,吉谷,
2412.0,美容探偵,ブースタープロミニ＋スキンケア商品,APR,12月発生1月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,吉谷,
2412.0,美容探偵,,,,,,,,,,
2412.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2412.0,突撃ちゃん,乾燥さん 薬用しっとり化粧液,BrandConnect,12月発生1月払い,投稿制作費,275000.0,請求書送付済,SAあり、税込,NADESIKO,,
2412.0,突撃ちゃん,Dr.twentyproject,bibin,12月発生1月払い,投稿制作費,200000.0,請求書送付済,,NADESIKO,,
2412.0,突撃ちゃん,ルルルン,OMOT,12月発生1月払い,投稿制作費,250000.0,請求書送付済,年末CP,NADESIKO,,
2412.0,突撃ちゃん,ブースタープロミニ＋スキンケア商品,APR,12月発生1月払い,投稿制作費,300000.0,請求書送付済,,NADESIKO,,
2412.0,アカウント名,,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2412.0,肌コミちゃん,skin1004,メディアエイド,12月発生1月払い,投稿制作費,400000.0,請求書送付済,"SAあり、IGあり、4,917",NADESIKO,,
2412.0,,,,,コスメ購入費,4917.0,請求書送付済,,NADESIKO,,
2412.0,肌コミちゃん,ONE BY KOSE　セラムヴェール ディープリペア,トレンダーズ,12月発生1月払い,投稿制作費,350000.0,請求書送付済,IGリールあり,NADESIKO,,
2412.0,肌コミちゃん,IPSA,ソーシャルワイヤー,12月発生1月払い,投稿制作費,300000.0,請求書送付済,,NADESIKO,,
2412.0,肌コミちゃん,メディキューブ,APR,12月発生1月払い,投稿制作費,250000.0,請求書送付済,SA込み,NADESIKO,,
2412.0,肌コミちゃん,,,,,,,,,,
2412.0,肌コミちゃん,,,,,,,,,,
2412.0,肌コミちゃん,,,,,,,,,,
2412.0,肌コミちゃん,,,,,,,,,,
2412.0,肌コミちゃん,,,,,,,,,,
2412.0,肌コミちゃん,,,,,,,,,,
2412.0,肌コミちゃん,,,,,,,,,,
2412.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2412.0,コスメ怪獣ちゃん,SHEGLAM,TRUXiA,12月発生1月払い,投稿制作費,200000.0,請求書送付済,税込,NADESIKO,,
2412.0,コスメ怪獣ちゃん,ルルルン,OMOT,12月発生1月払い,投稿制作費,250000.0,請求書送付済,年末CP,NADESIKO,,
2412.0,コスメ怪獣ちゃん,ダーマレーザー,OMOT,12月発生1月払い,投稿制作費,250000.0,請求書送付済,年末CP,NADESIKO,,
2412.0,コスメ怪獣ちゃん,TIRTIR,D&ACE,12月発生1月払い,投稿制作費,250000.0,請求書送付済,年末CP,NADESIKO,,
2412.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2412.0,韓国オンニ,アイゾーンダブルリバイタライザー,株式会社クラフツ,12月発生2月払い,二次利用費,150000.0,請求書送付済,10月実施分の延長,NADESIKO,メールチェック,
2412.0,韓国オンニ,Dr.twentyproject,bibin,12月発生1月払い,投稿制作費,104000.0,請求書送付済,"20,000分の自社SA",NADESIKO,,
2412.0,韓国オンニ,ダーマレーザー,OMOT,12月発生1月払い,投稿制作費,250000.0,請求書送付済,年末CP,NADESIKO,,
2412.0,韓国オンニ,,,,,,,,,,
2412.0,韓国オンニ,,,,,,,,,,
2412.0,韓国オンニ,,,,,,,,,,
2412.0,韓国オンニ,,,,,,,,,,
2412.0,韓国オンニ,,,,,,,,,,
2412.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2412.0,成分オタクちゃん,ルルルン,OMOT,12月発生1月払い,投稿制作費,250000.0,請求書送付済,年末CP＋セット割,NADESIKO,,
2412.0,成分オタクちゃん,PDRNアンプル,APR,12月発生1月払い,投稿制作費,300000.0,請求書送付済,SAあり,NADESIKO,,
