,,,,,,,,,,,
,売上,8413917,進捗率,目標,▲支出,3341322,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
2412.0,成分オタクちゃん,イクモアキュート,クロスアイ,12月発生1月払い,投稿制作費,300000.0,請求書送付済,,NADESIKO,,
2412.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,,
2412.0,女子会ズ,エスポア,TWINPLANET,12月発生1月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,,
2412.0,女子会ズ,ルルルン,OMOT,12月発生1月払い,投稿制作費,250000.0,請求書送付済,年末CP,NADESIKO,,
2412.0,女子会ズ,ダーマレーザー,OMOT,12月発生1月払い,投稿制作費,250000.0,請求書送付済,年末CP,NADESIKO,,
2412.0,女子会ズ,ラクトフィット,aidenlab,12月発生1月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,,
2412.0,女子会ズ,ニードルセラムAZ,ライフスタイルカンパニー,12月発生1月払い,投稿制作費,250000.0,請求書送付済,年末CP,NADESIKO,,
2412.0,Instagramタイアップ,,,,,,,,,,
2412.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2412.0,肌コミちゃん,シンプルバランス,KAIKA,12月発生1月払い,instagram,50000.0,請求書送付済,,,,
2412.0,肌コミちゃん,すっぽん小町,cogu,12月発生1月払い,IGリール,170000.0,請求書送付済,リール＋ストーリーズ＋広告配信,,,
2412.0,肌コミちゃん,EYE2IN（アイツーイン）,Greed,12月発生1月払い,IGリール,100000.0,請求書送付済,,,,
2412.0,モテコスメちゃん,SBC　MEDISPA　ステムローション,CCPR,12月発生1月払い,IGリール,150000.0,請求書送付済,,,,
2412.0,モテコスメちゃん,インティマC,BrandConnect,12月発生1月払い,IGフィード,40000.0,請求書送付済,税込,,,
2412.0,ビビちゃん,インティマC,BrandConnect,12月発生1月払い,IGフィード,40000.0,請求書送付済,税込,,,
2412.0,YouTubeタイアップ,,,,,,,,,,
2412.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2412.0,モテコスメちゃん,コスノリ,コスノリ,12月発生1月払い,YTS,180000.0,請求書送付済,二次利用あり,,,
,,,,,,,,,,,
,,,,,,,,,,,
